Nama,URL,Alamat,Kode Pos,Telepon,Fax,Email
Direktorat Pengembangan,https://www.itb.ac.id/directories/view/direktorat-pengembangan-xs,"Jalan Tamansari no. 64,","Bandung, 40132","+62-22 2530683,","+62-22 2536249,",ditbang@pusat.itb.ac.id
Direktorat Kemahasiswaan,https://www.itb.ac.id/directories/view/direktorat-kemahasiswaan-ru,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504814,","+62-22-2534275,",informasi@kemahasiswaan.itb.ac.id
Direktorat Perencanaan Sumber Daya,https://www.itb.ac.id/directories/view/direktorat-perencanaan-sumber-daya-xr,"Jalan Tamansari no 64,","Bandung, 40116","+62-22-2508518,","+62-22-2508518,",perencanaan@itb.ac.id
Direktorat Kepegawaian,https://www.itb.ac.id/directories/view/direktorat-kepegawaian-xx,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2530662, +62-22-2530683","+62-22-2530683,",sekretariat_ditpeg@itb.ac.id
Direktorat Sarana dan Prasarana,https://www.itb.ac.id/directories/view/direktorat-sarana-dan-prasarana-xv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010100,","+62-22-86010041,",ditsp@itb.ac.id
Direktorat Keuangan,https://www.itb.ac.id/directories/view/direktorat-keuangan-xq,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2504048,","+62-22-2504048,",sekretariat@ditkeu.itb.ac.id
Direktorat Sistem dan Teknologi Informasi,https://www.itb.ac.id/directories/view/direktorat-sistem-dan-teknologi-informasi-wt,"Jalan Ganesha no. 10,","Bandung, 40132","+62-22-86010037, +62-22-86010035",",",dsti@itb.ac.id
Direktorat Pendidikan,https://www.itb.ac.id/directories/view/direktorat-pendidikan-rs,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2536250, +62-22-4254016","+62-22-2536250,",sekretariat@ditdik.itb.ac.id
Fakultas Ilmu dan Teknologi Kebumian,https://www.itb.ac.id/directories/view/fakultas-ilmu-dan-teknologi-kebumian-rrx,"Jalan Ganesha 10,","Bandung, 40132","+62-22–2514990,","+62-22–2514837,",sisfo@fitb.itb.ac.id kabag@fitb.itb.ac.id
Fakultas Teknik Pertambangan dan Perminyakan,https://www.itb.ac.id/directories/view/fakultas-teknik-pertambangan-dan-perminyakan-suz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
Fakultas Matematika dan Ilmu Pengetahuan Alam,https://www.itb.ac.id/directories/view/fakultas-matematika-dan-ilmu-pengetahuan-alam-rwt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2515032,","+62-22-2502360,",admin@fmipa.itb.ac.id
Fakultas Teknik Sipil dan Lingkungan,https://www.itb.ac.id/directories/view/fakultas-teknik-sipil-dan-lingkungan-wu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504952,","+62-22-2516586,",kantor@ftsl.itb.ac.id
Fakultas Seni Rupa dan Desain,https://www.itb.ac.id/directories/view/fakultas-seni-rupa-dan-desain-szz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2501214,","+62-22-2534162,",informasi@fsrd.itb.ac.id
Fakultas Teknologi Industri,https://www.itb.ac.id/directories/view/fakultas-teknologi-industri-sqx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504551,","+62-22-2509406,",fti@itb.ac.id
Fakultas Teknik Mesin dan Dirgantara,https://www.itb.ac.id/directories/view/fakultas-teknik-mesin-dan-dirgantara-rvv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
International Relation Office,https://www.itb.ac.id/directories/view/international-relation-office-vy,"Jalan Ganesha no. 17,","Bandung, 40132","+62-22-2504282,","+62-22-2504282,",iro@itb.ac.id
ITB Kampus Ganesa,https://www.itb.ac.id/directories/view/itb-kampus-ganesa-txr,"Jl. Ganesa No. 10, Coblong","Bandung, 40132","+62222500935,",",",humas@itb.ac.id
ITB Career Center,https://www.itb.ac.id/directories/view/itb-career-center-rx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509177, +62-22-2509162","+62-22-2509177, +62-22-2509162",career@itb.ac.id
ITB Kampus Jatinangor,https://www.itb.ac.id/directories/view/itb-kampus-jatinangor-txs,"Jalan Let. Jen. Purn. Dr. (HC). Mashudi No. 1, Jatinangor","Sumedang,",",",",",humas_@jatinangor.itb.ac.id
ITB Kampus Cirebon,https://www.itb.ac.id/directories/view/itb-kampus-cirebon-txt,"Jl. Kebonturi, Arjawinangun,","Cirebon,",",",",",kampuscirebon@itb.ac.id
Kantor Rektor,https://www.itb.ac.id/directories/view/kantor-rektor-u,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-4231792,","+62-22-2508517,",rector@itb.ac.id
KK Matematika Industri dan Keuangan,https://www.itb.ac.id/directories/view/kk-matematika-industri-dan-keuangan-sqt,",",",",",",",",
Kantor Sekretaris Institut,https://www.itb.ac.id/directories/view/kantor-sekretaris-institut-wq,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2500935,","+62-22-2500935,",si@itb.ac.id
KK Matematika Kombinatorika,https://www.itb.ac.id/directories/view/kk-matematika-kombinatorika-squ,",",",",",",",",
Kantor Wakil Rektor Bidang Akademik dan Kemahasiswaan,https://www.itb.ac.id/directories/view/kantor-wakil-rektor-bidang-akademik-dan-kemahasiswaan-rq,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2508515,","+62-22-2508515,",sekre-wram@office.itb.ac.id
KK Material Fungsional Maju,https://www.itb.ac.id/directories/view/kk-material-fungsional-maju-tvx,",",",",",",",",
"Kantor Wakil Rektor Bidang Keuangan, Perencanaan, dan Pengembangan",https://www.itb.ac.id/directories/view/kantor-wakil-rektor-bidang-keuangan-perencanaan-dan-pengembangan-vz,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-4234413,","+62-22-2508515,",wrurk@itb.ac.id  wrurk@office.itb.ac.id
KK Oseanografi,https://www.itb.ac.id/directories/view/kk-oseanografi-rtt,",",",",",",",",
Kantor Wakil Rektor Bidang Riset dan Inovasi,https://www.itb.ac.id/directories/view/kantor-wakil-rektor-bidang-riset-dan-inovasi-sz,"Jln. Ganesha No. 10 Bandung,","Bandung, 40132","+62-22-86010082, +62-22-86010051","+62-22-2504010,",wrri@itb.ac.id
KK Pengambilan Keputusan dan Strategik Negosiasi,https://www.itb.ac.id/directories/view/kk-pengambilan-keputusan-dan-strategik-negosiasi-rux,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
Kantor Wakil Rektor Bidang Sumber Daya dan Organisasi,https://www.itb.ac.id/directories/view/kantor-wakil-rektor-bidang-sumber-daya-dan-organisasi-xu,"Jalan Tamansari no. 64,","Bandung, 40116","+62-22-2530683,","+62-22-2530683,",sekretariat_wrsd@itb.ac.id
KK Pengelolaan Pembangunan dan Pengembangan Kebijakan,https://www.itb.ac.id/directories/view/kk-pengelolaan-pembangunan-dan-pengembangan-kebijakan-suq,",",",",",",",",
KK Agroteknologi dan Teknologi Bioproduk,https://www.itb.ac.id/directories/view/kk-agroteknologi-dan-teknologi-bioproduk-rqy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",manurung@sith.itb.ac.id
KK Pengelolaan Udara dan Limbah,https://www.itb.ac.id/directories/view/kk-pengelolaan-udara-dan-limbah-yz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502647,",",",kantor@ftsl.itb.ac.id
KK Aljabar,https://www.itb.ac.id/directories/view/kk-aljabar-rzr,",",",",",",",",
KK Penginderaan Jauh dan Sains Informasi Geografis,https://www.itb.ac.id/directories/view/kk-penginderaan-jauh-dan-sains-informasi-geografis-rts,",",",",",",",",
KK Analisis & Geometri,https://www.itb.ac.id/directories/view/kk-analisis-geometri-rzs,",",",",",",",",
KK Perancangan Arsitektur,https://www.itb.ac.id/directories/view/kk-perancangan-arsitektur-sur,",",",",",",",",
KK Astronomi,https://www.itb.ac.id/directories/view/kk-astronomi-rzt,",",",",",",",",
KK Perancangan dan Pengembangan Produk Teknik Kimia,https://www.itb.ac.id/directories/view/kk-perancangan-dan-pengembangan-produk-teknik-kimia-ssr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504551,","+62-22-2509406,",cheitb@che.itb.ac.id
KK Biokimia,https://www.itb.ac.id/directories/view/kk-biokimia-rzu,",",",",",",",",
KK Perancangan dan Pengembangan Proses Teknik Kimia,https://www.itb.ac.id/directories/view/kk-perancangan-dan-pengembangan-proses-teknik-kimia-sss,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500989,","+62-22-2501438,",cheitb@che.itb.ac.id
KK Biologi Farmasi,https://www.itb.ac.id/directories/view/kk-biologi-farmasi-szu,",",",",",",",",
KK Perancangan Mesin,https://www.itb.ac.id/directories/view/kk-perancangan-mesin-rwq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Bioteknologi Mikroba,https://www.itb.ac.id/directories/view/kk-bioteknologi-mikroba-rqz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",pingkan@sith.itb.ac.id
KK Perencanaan dan Perancangan Kota,https://www.itb.ac.id/directories/view/kk-perencanaan-dan-perancangan-kota-sus,",",",",",",",",
"KK Desain, Operasi dan Perawatan Pesawat Terbang",https://www.itb.ac.id/directories/view/kk-desain-operasi-dan-perawatan-pesawat-terbang-rxx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Perencanaan Wilayah dan Perdesaan,https://www.itb.ac.id/directories/view/kk-perencanaan-wilayah-dan-perdesaan-sut,",",",",",",",",
KK Ekologi,https://www.itb.ac.id/directories/view/kk-ekologi-rrq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",iskandar@sith.itb.ac.id
KK Perumahan dan Pemukiman,https://www.itb.ac.id/directories/view/kk-perumahan-dan-pemukiman-suu,",",",",",",",",
KK Eksplorasi Sumberdaya Bumi,https://www.itb.ac.id/directories/view/kk-eksplorasi-sumberdaya-bumi-sxr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Rekayasa Air dan Limbah Cair,https://www.itb.ac.id/directories/view/kk-rekayasa-air-dan-limbah-cair-zq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502647,",",",kantor@ftsl.itb.ac.id
KK Elektronika,https://www.itb.ac.id/directories/view/kk-elektronika-swy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506291,","+62-22-2506291,",info@stei.itb.ac.id
KK Rekayasa Geoteknik,https://www.itb.ac.id/directories/view/kk-rekayasa-geoteknik-zr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010640,",",",kantor@ftsl.itb.ac.id
KK Energi dan Sistem Pemroses Teknik Kimia,https://www.itb.ac.id/directories/view/kk-energi-dan-sistem-pemroses-teknik-kimia-sry,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500989,","+62-22-2501438,",cheitb@che.itb.ac.id
KK Rekayasa Perangkat Lunak dan Pengetahuan,https://www.itb.ac.id/directories/view/kk-rekayasa-perangkat-lunak-dan-pengetahuan-syq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
"KK Ergonomi, Rekayasa Kerja, dan Keselamatan Kerja",https://www.itb.ac.id/directories/view/kk-ergonomi-rekayasa-kerja-dan-keselamatan-kerja-tsz,"Jalan Ganesha 10,","Bandung, 40132",",",",",kkerk3@fti.itb.ac.id
KK Rekayasa Struktur,https://www.itb.ac.id/directories/view/kk-rekayasa-struktur-zs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010602,",",",kantor@ftsl.itb.ac.id
KK Estetika dan Ilmu-ilmu Seni,https://www.itb.ac.id/directories/view/kk-estetika-dan-ilmu-ilmu-seni-tqy,",",",",",",",",
KK Rekayasa Transportasi,https://www.itb.ac.id/directories/view/kk-rekayasa-transportasi-zt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010675,",",",kantor@ftsl.itb.ac.id
KK Farmakokimia,https://www.itb.ac.id/directories/view/kk-farmakokimia-szv,",",",",",",",",
KK Risiko Bisnis dan Keuangan,https://www.itb.ac.id/directories/view/kk-risiko-bisnis-dan-keuangan-tur,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
KK Farmakologi-Farmasi Klinik,https://www.itb.ac.id/directories/view/kk-farmakologi-farmasi-klinik-szx,",",",",",",",",
KK Sains Atmosfer,https://www.itb.ac.id/directories/view/kk-sains-atmosfer-rtu,",",",",",",",",
KK Farmasetika,https://www.itb.ac.id/directories/view/kk-farmasetika-szw,",",",",",",",",
KK Sains dan Bioteknologi Tumbuhan,https://www.itb.ac.id/directories/view/kk-sains-dan-bioteknologi-tumbuhan-rru,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",srinanan@sith.itb.ac.id
KK Fisika Bangunan,https://www.itb.ac.id/directories/view/kk-fisika-bangunan-tvv,",",",",",",",",
KK Sains dan Sistem Kerekayasaan Wilayah Pesisir,https://www.itb.ac.id/directories/view/kk-sains-dan-sistem-kerekayasaan-wilayah-pesisir-rtv,",",",",",",",",
KK Fisika Bumi dan Sistem Kompleks,https://www.itb.ac.id/directories/view/kk-fisika-bumi-dan-sistem-kompleks-rzv,",",",",",",",",
KK Seismologi Eksplorasi dan Rekayasa,https://www.itb.ac.id/directories/view/kk-seismologi-eksplorasi-dan-rekayasa-sxu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Fisika Magnetik dan Fotonik,https://www.itb.ac.id/directories/view/kk-fisika-magnetik-dan-fotonik-rzx,",",",",",",",",
"KK Sejarah, Teori dan Kritik Arsitektur",https://www.itb.ac.id/directories/view/kk-sejarah-teori-dan-kritik-arsitektur-suv,",",",",",",",",
KK Fisika Material Elektronik,https://www.itb.ac.id/directories/view/kk-fisika-material-elektronik-rzw,",",",",",",",",
KK Seni Rupa,https://www.itb.ac.id/directories/view/kk-seni-rupa-trv,",",",",",",",",
KK Fisika Nuklir dan Biofisika,https://www.itb.ac.id/directories/view/kk-fisika-nuklir-dan-biofisika-rzy,",",",",",",",",
KK Sistem dan Pemodelan Ekonomika,https://www.itb.ac.id/directories/view/kk-sistem-dan-pemodelan-ekonomika-sux,",",",",",",",",
KK Fisika Teoritik Energi Tinggi dan Instrumentasi,https://www.itb.ac.id/directories/view/kk-fisika-teoritik-energi-tinggi-dan-instrumentasi-rzz,"Jalan Ganesha 10,","Bandung, 40132",",",",",
KK Sistem Industri dan Tekno-ekonomi,https://www.itb.ac.id/directories/view/kk-sistem-industri-dan-tekno-ekonomi-sst,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189, +62-22-2509164",",",industri@ti.itb.ac.id
KK Fisika Terbang,https://www.itb.ac.id/directories/view/kk-fisika-terbang-rxw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Sistem Informasi dan Keputusan,https://www.itb.ac.id/directories/view/kk-sistem-informasi-dan-keputusan-tvw,",",",",",",",",
"KK Fisiologi, Perkembangan Hewan dan Sains Biomedika",https://www.itb.ac.id/directories/view/kk-fisiologi-perkembangan-hewan-dan-sains-biomedika-rrr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",aang@sith.itb.ac.id
KK Sistem Infrastruktur Wilayah dan Kota,https://www.itb.ac.id/directories/view/kk-sistem-infrastruktur-wilayah-dan-kota-suw,",",",",",",",",
KK Genetika dan Bioteknologi Molekular,https://www.itb.ac.id/directories/view/kk-genetika-dan-bioteknologi-molekular-rrs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",sony@sith.itb.ac.id
KK Sistem Kendali dan Komputer,https://www.itb.ac.id/directories/view/kk-sistem-kendali-dan-komputer-syr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500960,","+62-22-2534217,",info@stei.itb.ac.id
KK Geodesi,https://www.itb.ac.id/directories/view/kk-geodesi-rsz,",",",",",",",",
KK Sistem Manufaktur,https://www.itb.ac.id/directories/view/kk-sistem-manufaktur-ssu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504189, +62-22-2509164",",",industri@ti.itb.ac.id
KK Geofisika Global,https://www.itb.ac.id/directories/view/kk-geofisika-global-sxs,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Statistika,https://www.itb.ac.id/directories/view/kk-statistika-sqv,",",",",",",",",
KK Geofisika Terapan dan Eksplorasi,https://www.itb.ac.id/directories/view/kk-geofisika-terapan-dan-eksplorasi-sxt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Strategi Bisnis dan Pemasaran,https://www.itb.ac.id/directories/view/kk-strategi-bisnis-dan-pemasaran-tus,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
KK Geologi,https://www.itb.ac.id/directories/view/kk-geologi-rtq,",",",",",",",",
KK Struktur Ringan,https://www.itb.ac.id/directories/view/kk-struktur-ringan-rwr,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Geologi Terapan,https://www.itb.ac.id/directories/view/kk-geologi-terapan-rtr,",",",",",",",",
KK Surveying dan Kadaster,https://www.itb.ac.id/directories/view/kk-surveying-dan-kadaster-rtx,",",",",",",",",
KK Ilmu dan Teknik Material,https://www.itb.ac.id/directories/view/kk-ilmu-dan-teknik-material-rxy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Teknik Biomedika,https://www.itb.ac.id/directories/view/kk-teknik-biomedika-sys,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2534117,","+62-22-2534117,",biomed@stei.itb.ac.id
KK Ilmu Keolahragaan,https://www.itb.ac.id/directories/view/kk-ilmu-keolahragaan-szy,",",",",",",",",
KK Teknik Fisika,https://www.itb.ac.id/directories/view/kk-teknik-fisika-ssv,"Jalan Ganesha 10,","Bandung, 40132",",",",",kaprodis1@tf.itb.ac.id
KK Ilmu-Ilmu Desain dan Budaya Visual,https://www.itb.ac.id/directories/view/kk-ilmu-ilmu-desain-dan-budaya-visual-tqz,",",",",",",",",
KK Teknik Ketenagalistrikan,https://www.itb.ac.id/directories/view/kk-teknik-ketenagalistrikan-syu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506291,","+62-22-2506291,",info@stei.itb.ac.id
KK Ilmu-Ilmu Kemanusiaan,https://www.itb.ac.id/directories/view/kk-ilmu-ilmu-kemanusiaan-trq,",",",",",",",",
KK Teknik Komputer,https://www.itb.ac.id/directories/view/kk-teknik-komputer-syv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500960,","+62-22-2534217,",info@stei.itb.ac.id
KK Informatika,https://www.itb.ac.id/directories/view/kk-informatika-swz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508135,","+62-22-2500940,",info@stei.itb.ac.id
KK Teknik Lepas Pantai,https://www.itb.ac.id/directories/view/kk-teknik-lepas-pantai-zu,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509117, +62-22-2511925","+62-22-2509117, +62-22-2511925",kantor@ftsl.itb.ac.id
KK Instrumentasi dan Kontrol,https://www.itb.ac.id/directories/view/kk-instrumentasi-dan-kontrol-srz,"Jalan Ganesha 10,","Bandung, 40132",",",",",kaprodis2ik@tf.itb.ac.id
KK Teknik Metalurgi,https://www.itb.ac.id/directories/view/kk-teknik-metalurgi-sxv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Kewirausahaan dan Manajemen Teknologi,https://www.itb.ac.id/directories/view/kk-kewirausahaan-dan-manajemen-teknologi-ruz,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
KK Teknik Pantai,https://www.itb.ac.id/directories/view/kk-teknik-pantai-zv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2509117, +62-22-2511925","+62-22-2509117, +62-22-2511925",kantor@ftsl.itb.ac.id
KK Kimia Analitik,https://www.itb.ac.id/directories/view/kk-kimia-analitik-sqq,",",",",",",",",
"KK Teknik Pemboran, Produksi dan Manajemen Minyak dan Gas",https://www.itb.ac.id/directories/view/kk-teknik-pemboran-produksi-dan-manajemen-minyak-dan-gas-sxx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Kimia Fisik dan Anorganik,https://www.itb.ac.id/directories/view/kk-kimia-fisik-dan-anorganik-sqr,",",",",",",",",
KK Teknik Pertambangan,https://www.itb.ac.id/directories/view/kk-teknik-pertambangan-sxw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Kimia Organik,https://www.itb.ac.id/directories/view/kk-kimia-organik-sqs,",",",",",",",",
KK Teknik Produksi Mesin,https://www.itb.ac.id/directories/view/kk-teknik-produksi-mesin-rws,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Komunikasi Visual dan Multi Media,https://www.itb.ac.id/directories/view/kk-komunikasi-visual-dan-multi-media-trr,",",",",",",",",
KK Teknik Reservoir,https://www.itb.ac.id/directories/view/kk-teknik-reservoir-sxy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2506282,","+62-22-2514922,",info@fttm.itb.ac.id
KK Konversi Energi,https://www.itb.ac.id/directories/view/kk-konversi-energi-rxz,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2504243,","+62-22-2534099,",info@ftmd.itb.ac.id
KK Teknik Sumber Daya Air,https://www.itb.ac.id/directories/view/kk-teknik-sumber-daya-air-zx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010662,",",",kantor@ftsl.itb.ac.id
KK Kria dan Tradisi,https://www.itb.ac.id/directories/view/kk-kria-dan-tradisi-trs,",",",",",",",",
KK Teknik Telekomunikasi,https://www.itb.ac.id/directories/view/kk-teknik-telekomunikasi-syx,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2501661,","+62-22-2501661,",info@stei.itb.ac.id
KK Manajemen dan Rekayasa Konstruksi,https://www.itb.ac.id/directories/view/kk-manajemen-dan-rekayasa-konstruksi-yy,"Jalan Ganesha 10,","Bandung, 40132","+62-22-86010326,",",",kantor@ftsl.itb.ac.id
KK Teknologi Bangunan,https://www.itb.ac.id/directories/view/kk-teknologi-bangunan-suy,",",",",",",",",
KK Manajemen Industri,https://www.itb.ac.id/directories/view/kk-manajemen-industri-ssq,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2508141,",",",
KK Teknologi Informasi,https://www.itb.ac.id/directories/view/kk-teknologi-informasi-syw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500985,","+62-22-2500985,",info@stei.itb.ac.id
KK Manajemen Manusia dan Pengetahuan,https://www.itb.ac.id/directories/view/kk-manajemen-manusia-dan-pengetahuan-rvs,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
KK Teknologi Kehutanan,https://www.itb.ac.id/directories/view/kk-teknologi-kehutanan-rrv,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",endah@sith.itb.ac.id
KK Manajemen Operasi dan Kinerja,https://www.itb.ac.id/directories/view/kk-manajemen-operasi-dan-kinerja-tuq,"Jalan Tamansari no 64,","Bandung, 40132","+62-22-2531923,","+62-22-2504249,",info-sbm.itb.ac.id
KK Teknologi Pengelolaan Lingkungan,https://www.itb.ac.id/directories/view/kk-teknologi-pengelolaan-lingkungan-zw,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2502647,",",",kantor@ftsl.itb.ac.id
KK Manajemen Sumber Daya Hayati,https://www.itb.ac.id/directories/view/kk-manajemen-sumber-daya-hayati-rrt,"Jalan Ganesha 10,","Bandung, 40132","+62-22-2500258, +62-22-2511575","+62-22-2534107,",wawangun@sith.itb.ac.id
KK Teknologi Pengolahan Biomassa dan Pangan,https://www.itb.ac.id/directories/view/kk-teknologi-pengolahan-biomassa-dan-pangan-tvu,",",",",",",",",
KK Manusia dan Desain Produk Industri,https://www.itb.ac.id/directories/view/kk-manusia-dan-desain-produk-industri-trt,",",",",",",",",
KK Teknologi Reaksi Kimia dan Katalis,https://www.itb.ac.id/directories/view/kk-teknologi-reaksi-kimia-dan-katalis-tvt,",",",",",",",",
KK Manusia dan Ruang Interior,https://www.itb.ac.id/directories/view/kk-manusia-dan-ruang-interior-tru,",",",",",",",",
